label,text
ham,"Chào Minh, chiều nay nhóm mình họp lúc 3 giờ ở phòng B203 nhé."
ham,"Em gửi lại bài báo cáo môn trí tuệ nhân tạo để thầy góp ý."
ham,"Ngày mai lớp mình học bù môn cơ sở dữ liệu lúc 7 giờ 30."
ham,"Bạn nhớ nộp bài tập lập trình Python trước tối nay nha."
ham,"Mình đã đính kèm slide thuyết trình cuối kỳ trong email này."
ham,"Cảm ơn bạn đã gửi tài liệu ôn tập cho nhóm."
ham,"Lịch phỏng vấn thực tập của em được dời sang thứ sáu tuần này."
ham,"Hóa đơn mua sách của bạn đã được gửi kèm theo email."
ham,"Mời bạn tham dự buổi hướng dẫn đồ án tại phòng lab chiều nay."
ham,"Nhóm mình kiểm tra lại phần giao diện web trước khi nộp báo cáo."
ham,"Thầy đã phản hồi nhận xét cho đề cương đồ án của nhóm."
ham,"Bạn có thể gửi mình file dữ liệu mẫu để test lại mô hình không?"
ham,"Chiều nay mình bận học quốc phòng nên xin phép họp online."
ham,"Đơn đăng ký tham gia câu lạc bộ của bạn đã được ghi nhận."
ham,"Vui lòng xác nhận lịch bảo vệ tiểu luận trước ngày 20 tháng này."
ham,"Mình đã cập nhật README và hướng dẫn chạy backend trong thư mục dự án."
ham,"Kết quả kiểm tra giữa kỳ sẽ được công bố trên cổng sinh viên."
ham,"Bạn nhớ mang laptop khi lên lớp thực hành học máy vào sáng mai."
ham,"Email này dùng để xác nhận bạn đã đăng ký tài khoản thành công."
ham,"Tài liệu môn mạng máy tính đã được tải lên Google Drive của lớp."
ham,"Phòng đào tạo thông báo lịch nghỉ lễ cho sinh viên toàn trường."
ham,"Mình gửi bạn link họp Google Meet cho buổi thảo luận tối nay."
ham,"Bài làm của bạn đã được hệ thống tiếp nhận thành công."
ham,"Cô nhắc lớp đọc chương 4 trước buổi học tuần sau."
ham,"Bạn kiểm tra giúp mình lỗi kết nối API trong phần web nhé."
ham,"Nhóm trưởng đã phân công nhiệm vụ cho từng thành viên trong bảng Trello."
ham,"Thư viện thông báo sách bạn đặt mượn đã có thể đến nhận."
ham,"Mã xác nhận đăng nhập của bạn là 482913, không chia sẻ cho người khác."
ham,"Chúng tôi đã nhận được yêu cầu hỗ trợ kỹ thuật của bạn."
ham,"Bạn vui lòng cập nhật số điện thoại trong hồ sơ sinh viên."
spam,"Chúc mừng bạn đã trúng thưởng xe máy SH, bấm vào link để nhận quà ngay."
spam,"Bạn được chọn nhận 50 triệu đồng miễn phí, gửi số tài khoản để xác minh."
spam,"Khuyến mãi cực sốc chỉ hôm nay, nhấn vào đường dẫn để nhận tiền thưởng."
spam,"Tài khoản của bạn sắp bị khóa, đăng nhập ngay vào link lạ để xác nhận."
spam,"Nhận quà miễn phí 100 phần trăm, chỉ cần cung cấp mã OTP của bạn."
spam,"Bạn đã chiến thắng chương trình quay số may mắn, chuyển phí hồ sơ để nhận giải."
spam,"Cơ hội kiếm tiền online không cần làm gì, đăng ký ngay trước khi hết suất."
spam,"Ngân hàng yêu cầu xác minh gấp, gửi mật khẩu để tránh bị khóa tài khoản."
spam,"Bạn có khoản vay duyệt sẵn 200 triệu, bấm link nhận tiền trong 5 phút."
spam,"Tặng voucher mua sắm trị giá 5 triệu, nhập thông tin cá nhân để nhận."
spam,"Thông báo trúng thưởng iPhone mới, thanh toán phí vận chuyển để nhận hàng."
spam,"Đầu tư lợi nhuận cam kết 300 phần trăm mỗi tháng, tham gia ngay hôm nay."
spam,"Tài khoản ví điện tử bị nghi ngờ, cung cấp mã xác thực để mở khóa."
spam,"Bạn nhận được tiền hoàn thuế, bấm vào liên kết để cập nhật ngân hàng."
spam,"Tin nhắn khẩn cấp, chuyển khoản xác minh để bảo vệ tài khoản của bạn."
spam,"Mua thuốc giảm cân thần tốc giá rẻ, đặt hàng ngay để được miễn phí vận chuyển."
spam,"Hệ thống phát hiện giao dịch lạ, nhập mật khẩu tại trang này để hủy giao dịch."
spam,"Bạn được tặng thẻ cào 500 nghìn đồng, click link để nhận mã."
spam,"Việc nhẹ lương cao tại nhà, nộp phí kích hoạt để bắt đầu kiếm tiền."
spam,"Gói quà bí mật đang chờ bạn, gửi địa chỉ và số căn cước để nhận."
spam,"Cập nhật thông tin ngân hàng ngay hôm nay nếu không tài khoản sẽ bị khóa."
spam,"Bạn đã lọt vào danh sách khách hàng may mắn, gọi lại số này để nhận thưởng."
spam,"Chỉ cần đặt cọc nhỏ, bạn sẽ nhận khoản vay lớn không cần chứng minh thu nhập."
spam,"Khóa học làm giàu cấp tốc cam kết hoàn vốn sau 3 ngày, đăng ký ngay."
spam,"Nhận ngay phần thưởng độc quyền, không chia sẻ cơ hội này cho người khác."
spam,"Bạn có bưu kiện quốc tế chưa thanh toán phí hải quan, bấm link để đóng phí."
spam,"Tài khoản mạng xã hội của bạn vi phạm, nhập lại mật khẩu để khôi phục."
spam,"Chương trình tri ân khách hàng tặng tiền mặt, xác minh OTP để nhận quà."
spam,"Số điện thoại của bạn trúng giải đặc biệt, chuyển phí xử lý để nhận tiền."
spam,"Đường dẫn nhận quà chỉ còn hiệu lực trong 10 phút, bấm ngay kẻo mất."
